Municipality,Region,Population_2023_thousands,Category,Occupied,Occupation_Region
Gagra,Abkhazia,,No Data,Yes,Abkhazia
Gali,Abkhazia,,No Data,Yes,Abkhazia
Gudauta,Abkhazia,,No Data,Yes,Abkhazia
Gulripshi,Abkhazia,,No Data,Yes,Abkhazia
Ochamchire,Abkhazia,,No Data,Yes,Abkhazia
Sokhumi,Abkhazia,,No Data,Yes,Abkhazia
Batumi,Adjara,183.18,>100k,No,
Keda,Adjara,16.35,10-50k,No,
Khulo,Adjara,28.25,10-50k,No,
Kobuleti,Adjara,68.09,50-100k,No,
Shuakhevi,Adjara,14.54,10-50k,No,
Chokhatauri,Guria,17.0,10-50k,No,
Lanchkhuti,Guria,28.55,10-50k,No,
Ozurgeti,Guria,56.33,50-100k,No,
Bagdati,Imereti,15.93,10-50k,No,
Chiatura,Imereti,36.7,10-50k,No,
Kharagauli,Imereti,17.89,10-50k,No,
Khoni,Imereti,19.17,10-50k,No,
Kutaisi,Imereti,125.59,>100k,No,
Sachkhere,Imereti,32.36,10-50k,No,
Samtredia,Imereti,39.34,10-50k,No,
Terjola,Imereti,28.55,10-50k,No,
Tkibuli,Imereti,15.76,10-50k,No,
Tskaltubo,Imereti,39.23,10-50k,No,
Vani,Imereti,18.83,10-50k,No,
Zestaponi,Imereti,52.94,50-100k,No,
Akhmeta,Kakheti,26.5,10-50k,No,
DedoplisTskaro,Kakheti,20.12,10-50k,No,
Gurjaani,Kakheti,49.91,10-50k,No,
Kvareli,Kakheti,30.84,10-50k,No,
Lagodekhi,Kakheti,40.26,10-50k,No,
Sagarejo,Kakheti,51.49,50-100k,No,
Signagi,Kakheti,28.41,10-50k,No,
Telavi,Kakheti,52.37,50-100k,No,
Bolnisi,Kvemo Kartli,56.95,50-100k,No,
Dmanisi,Kvemo Kartli,22.03,10-50k,No,
Gardabani,Kvemo Kartli,77.92,50-100k,No,
Marneuli,Kvemo Kartli,108.47,>100k,No,
TetriTskaro,Kvemo Kartli,23.46,10-50k,No,
Tsalka,Kvemo Kartli,20.04,10-50k,No,
Akhalgori,Tskhinvali Region,,No Data,Yes,Tskhinvali Region
Dusheti,Mtskheta-Mtianeti,26.89,10-50k,No,
Kazbegi,Mtskheta-Mtianeti,3.76,<10k,No,
Mtskheta,Mtskheta-Mtianeti,51.15,50-100k,No,
Tianeti,Mtskheta-Mtianeti,10.82,10-50k,No,
Ambrolauri,Racha-Lechkhumi,10.09,10-50k,No,
Lentekhi,Racha-Lechkhumi,3.63,<10k,No,
Oni,Racha-Lechkhumi,5.29,<10k,No,
Tsageri,Racha-Lechkhumi,7.17,<10k,No,
Abasha,Samegrelo-Zemo Svaneti,17.67,10-50k,No,
Chkhorotsku,Samegrelo-Zemo Svaneti,20.51,10-50k,No,
Khobi,Samegrelo-Zemo Svaneti,25.61,10-50k,No,
Martvili,Samegrelo-Zemo Svaneti,29.9,10-50k,No,
Mestia,Samegrelo-Zemo Svaneti,9.21,<10k,No,
Senaki,Samegrelo-Zemo Svaneti,29.99,10-50k,No,
Tsalenjikha,Samegrelo-Zemo Svaneti,20.83,10-50k,No,
Zugdidi,Samegrelo-Zemo Svaneti,92.92,50-100k,No,
Adigeni,Samtskhe-Javakheti,15.63,10-50k,No,
Akhalkalaki,Samtskhe-Javakheti,37.38,10-50k,No,
Akhaltsikhe,Samtskhe-Javakheti,39.34,10-50k,No,
Aspindza,Samtskhe-Javakheti,10.57,10-50k,No,
Borjomi,Samtskhe-Javakheti,24.52,10-50k,No,
Ninotsminda,Samtskhe-Javakheti,14.62,10-50k,No,
Gori,Shida Kartli,114.92,>100k,No,
Java,Tskhinvali Region,,No Data,Yes,Tskhinvali Region
Kareli,Shida Kartli,39.66,10-50k,No,
Kaspi,Shida Kartli,40.2,10-50k,No,
Khashuri,Shida Kartli,49.35,10-50k,No,
Tbilisi,Tbilisi,1258.53,>100k,No,
